user_id,text_duplicate,final
7.754208216323482e+17,"Why #Coronavirus Is Dangerous For #Diabetics?

Gayee Bhains Paani mein ” meaning in English “ The buffalo has gone in water.

https://t.co/hjImbdUVmU via @YouTube",coronavirus dangerous diabetic gayee bhains paani mein  meaning english  the buffalo go water via
39140384.0,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,go payitforwardlive covid19 coronavirus
109396240.0,I am trying to cure the Coronavirus (COVID-19) myself trying to improve vaccines to this awful disease but we need some noodz can anyone help out ?,try to cure the coronavirus covid19 try to improve vaccine to awful disease need noodz anyone help out
782766542.0,Here it is all uncensored the way you like it. *Watch the complete video on our YouTube channel. Today Professor Snape is still trying to recover from the Coronavirus. He is watching CNN where they are discussing… https://t.co/1MefftrRgM,uncensored the way like watch the complete video youtube channel today professor snape still try to recover from the coronavirus watch cnn discussing…
24258295.0,@CurtisHouck wonder where she’s getting her info. https://t.co/68JvCerKsJ,wonder  get info
24258295.0,@joelockhart right? she’s out of touch. how about this hospital? https://t.co/68JvCerKsJ,right  out touch hospital
24258295.0,terrifying reports out of NYC hospitals  https://t.co/68JvCerKsJ,terrify report out nyc hospital
1.226980043588395e+18,"#Naan #Bread proofing

#coronavirus #QuarantineLife #baking https://t.co/85KorlLN3K",naan bread proof coronavirus quarantinelife baking
335990475.0,Dear @Starbucks Thank you for the free coffee &amp; the smile it brought. These days it’s the little things that get us healthcare workers through our long shifts. Being there for the patients that need us is sometimes a thankless job so thanks for noticing. #coronavirus #freecoffee,dear thank the free coffee amp the smile brought day  the little thing get u healthcare worker long shift the patient need u sometimes thankless job thanks notice coronavirus freecoffee
346146344.0,@CNN I know you’re covering the #coronavirus. Is there anyway you can release the remaining episodes of #thewindsors?,know  cover the coronavirus anyway release the remain episode thewindsors
