id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final
1.3047857026143724e+18,90538995.0,woke up to see if the justin bieber pandemic was over going back to sleep,woke up to see if the justin bieber pandemic was over. going back to sleep,woke see justin bieber pandemic go back sleep
1.3047857023081964e+18,8.497238877891214e+17,“our intention is to make sure that evidence sciencebased data drives policy through this pandemic—not ulterior deep state motives in the bowels of cdc he caputo saidugh,"@TeresaCCarter2 “Our intention is to make sure that evidence, science-based data drives policy through this pandemic—not ulterior deep state motives in the bowels of CDC,"" he [Caputo] said.

Ugh.",“ intention make sure evidence sciencebased data drive policy pandemic—not ulterior deep state motif bowel cdc caputo saidugh
1.3047857028743004e+18,1.2938296925757604e+18,for more information contact us mailfollow on 📷instagramgym 🏋🚴💪 gymlife gymnastics gymaddicated covidー19 gymjordan gymnastalliance gymbunny gymsetup gymgay rajkot startups startupindia startuplife business,"For More Information contact us. 
Mail:- digitalabsolute8@gmail.com

Follow on 📷INSTAGRAM
@digit_alabsolut
#gym 🏋🚴💪 #gymlife #gymnastics #Gymaddicated #COVIDー19 #GymJordan #gymnastalliance #gymbunny #GymSetup #gymgay #Rajkot #startups #StartupIndia #startuplife #business https://t.co/1YdXp3aL0d",information contact u mailfollow 📷instagramgym 🏋🚴💪 gymlife gymnastics gymaddicated covidー19 gymjordan gymnastalliance gymbunny gymsetup gymgay rajkot startup startupindia startuplife business
1.304785703155503e+18,1.188901797072556e+18,uae reports 1007 new covid19 cases highest since outbreak,"UAE reports 1,007 new Covid-19 cases, highest since outbreak https://t.co/H5TichC6fB",uae report 1007 new covid19 case high since outbreak
1.3047857036043018e+18,227383015.0,trump officials interfered with cdc reports on covid19  politico,Trump officials interfered with CDC reports on Covid-19 - POLITICO https://t.co/FdO5Badvah,trump official interfere cdc report covid19 politico
1.3047857040068813e+18,8.145147001594839e+17,the cdc approved mutual masturbation as long as both parties wear a mask,The CDC approved mutual masturbation as long as both parties wear a mask.,cdc approve mutual masturbation long party wear mask
1.3047857042711757e+18,27021380.0,yet another reason to vote ⁦⁩ out like we don’t already have enough reasons 52 daysvote like your life depends on it because it literally does notmypresident covidiot trumpdoesntcare trumpknew trumpliedpeopledied voteblue,Yet another reason to vote ⁦@realDonaldTrump⁩ out. Like we don’t already have enough reasons. 52 days...Vote like your life depends on it because it literally does. #NotMyPresident #Covidiot #TrumpDoesntCare #TrumpKnew #TrumpLiedPeopleDied #VoteBlue https://t.co/yDly2jXVlt,yet another reason vote ⁦⁩ like ’ already enough reason 52 daysvote like life depends literally notmypresident covidiot trumpdoesntcare trumpknew trumpliedpeopledied voteblue
1.3047857051350385e+18,35239395.0,as we open up shops and transport the cases are expected to shoot up fear about a probable 2nd wave is farfetched because the 1st wave itself is still strong and growing so here are some measures id highly recommend to everyone to be able to sail through this tide 3n,"As we open up shops and transport, the cases are expected to shoot up. Fear about a probable 2nd wave is far-fetched because the 1st wave itself is still strong and growing. So, here are some measures I'd highly recommend to everyone to be able to sail through this tide: (3/n)",open shop transport case expect shoot fear probable 2nd wave farfetched 1st wave still strong grow measure id highly recommend everyone able sail tide 3n
1.3047857034784072e+18,2337076434.0,best of luck to all our teams and clubs kicking off their fall seasons today its been almost a full year without soccer lets do this maskup,Best of luck to all our teams and clubs kicking off their fall seasons today! It's been almost a full year without soccer. Let's do this! #maskup https://t.co/RGzRvG8VXw,best luck team club kick fall season today almost full year without soccer let maskup
1.3047857053364838e+18,58256324.0,coronavirus isolation rulebreakers in england may be fined says gove,"Coronavirus: isolation rule-breakers in England may be fined, says Gove https://t.co/rYPpeg59U3",coronavirus isolation rulebreakers england may fin say gove
1.3047857053616456e+18,1.10880549958631e+18,people on the team are definitely testing positive did you read fuentes comments earlier in the week about not being sure about fielding a competitive team if they had to play this weekend,@Ruebush77 @LazeVT People on the team are definitely testing positive did you read Fuente's comments earlier in the week about not being sure about fielding a competitive team if they had to play this weekend?,people team definitely test positive read fuentes comment earlier week sure fielding competitive team play weekend
1.3047857060914135e+18,250657215.0,are you in the covid19 study already get in line behind donald duck trump,@mjd1735 @KizzyPhD Are you in the COVID-19 study already? GET IN LINE BEHIND DONALD DUCK TRUMP.,covid19 study already get line behind donald duck trump
1.3047857064815944e+18,1173139700.0,they are already past their 2nd negative covid test i feel so bad for those students that have been criminalized by a frightened administration,@Tim_Bousquet They are already past their 2nd negative covid test. I feel so bad for those students that have been criminalized by a frightened administration.,already past 2nd negative covid test feel bad student criminalize frighten administration
1.3047857067289843e+18,107364963.0,covid,@LucienBrochet Covid,covid
1.3047857070184527e+18,8.891637789438401e+17,navajo nation reeling from coronavirus focuses attention on elections,"Navajo Nation, reeling from coronavirus, focuses attention on elections
https://t.co/9fFJSDLMh4",navajo nation reel coronavirus focus attention election
1.3047857071400264e+18,1.2708207989499208e+18,i miss my mf bestfriends  bts ima see u soon don’t worry i’m coming ima fight corona so i can see u i’ll find a cure,i miss my mf bestfriends )): bts ima see u soon don’t worry i’m coming ima fight corona so i can see u i’ll find a cure,miss mf bestfriends bts ima see u soon ’ worry ’ come ima fight corona see u ’ find cure
1.3047857076727644e+18,42007513.0,lockdown day 173  see my new daily photo on blipfoto,"""Lockdown Day 173"" https://t.co/MdPkYSfNo2  See my new daily photo on #blipfoto",lockdown day 173 see new daily photo blipfoto
1.3047857079286088e+18,1.0204473960174592e+18,seems to me that every politician is looking out for themselves right now he said she said is absolutely ridiculous trump moved swiftly on the pandemic let’s face it after everything he went through during his term i would have thought covid19 was a hoax also,"@SenWarren Seems to me that every politician is looking out for themselves right NOW!. He said she said is absolutely ridiculous. Trump moved swiftly on the pandemic!, let’s face it. After everything he went through during his term, I would have thought Covid-19 was a hoax also.",seem every politician look right say say absolutely ridiculous trump move swiftly pandemic let ’ face everything go term would thought covid19 hoax also
1.3047857098244383e+18,1.2577498742605414e+18,who knows more about crooks than the trumpcrimefamilytrumpisaloser trumpvirus trumpkillsamericans,"@DonaldJTrumpJr Who knows more about crooks than the #TrumpCrimeFamily?

#TrumpIsALoser 
#TrumpVirus 
#TrumpkillsAmericans",know crook trumpcrimefamilytrumpisaloser trumpvirus trumpkillsamericans
1.3047857098160497e+18,380725931.0,masked  darkness falls pandemic pontifications by ron foster via  prepper,MASKED ! DARKNESS FALLS...: Pandemic Pontifications by Ron Foster https://t.co/TcC9pBbXAM via @amazon #prepper,masked darkness fall pandemic pontifications ron foster via prepper
1.3047857105079828e+18,1.1949450991357335e+18,i know it’s like woodward sitting on president trumps playing down the china virus for six months,"@honorgoesfar @catturd2 I know, it’s like Woodward sitting on President Trumps playing down the China virus for six months.",know ’ like woodward sit president trump play china virus six month
1.304785710017323e+18,81854233.0,an amesbury woman has been named a lockdown hero and is to have great western train named after her  37,"An Amesbury woman has been named a 'lockdown hero' and is to have Great Western train named after her.  (3/7)

https://t.co/0DfefSi8p8 https://t.co/wzWAPCx5E7",amesbury woman name lockdown hero great western train name 37
1.3047857111833395e+18,223689142.0,when sars hit and they told everyone what to do and not do did you see panic no you didnt so why do you think it would have been any different with covid19 just use you head and stop spreading lies and conspiracy theories,@StateSheep @StephenKing When SAR's hit and they told everyone what to do and not do did you see panic. NO YOU DIDN'T so why do you think it would have been any different with COVID-19 just use you head and stop spreading lie's and conspiracy theories,sars hit told everyone see panic didnt think would different covid19 use head stop spread lie conspiracy theory
1.304785711598428e+18,1.2729794187265352e+18,sir my ticket is booked for spicejet flight tomm and unfortunately my society in pune is marked under covid containment zone also there is  janta curfew in the area i tried to reach out to airlines for cancellation and refund but havent got any responsepls help,@HardeepSPuri @narendramodi @PMOIndia @RanchiPIB @BJP4Jharkhand @MoCA_GoI @AAI_Official @LabourMinistry @PIB_India @MIB_India @nishikant_dubey @HardeepSPuri sir my ticket is booked for spicejet flight tomm and unfortunately my society in pune is marked under covid containment zone .Also there is  Janta curfew in the area .I tried to reach out to airlines for cancellation and refund but havent got any response.pls help.,sir ticket book spicejet flight tomm unfortunately society pune marked covid containment zone also janta curfew area try reach airline cancellation refund havent get responsepls help
1.3047857123660677e+18,8.269211770209034e+17,never forget trump lied to americans to keep them maskless during a pandemic that has now killed over 190000 of us  never forget trump called our brave soldiers losers and suckers never forget,"@charliekirk11 Never forget Trump lied to Americans to keep them maskless during a pandemic that has now killed over 190,000 of us.  

Never forget Trump called our brave soldiers losers and suckers. 

Never forget.",never forget trump lie american keep maskless pandemic kill 190000 u never forget trump call brave soldier loser sucker never forget
1.3047857129953567e+18,1.2910744607920947e+18,no by the time the vaccine is here covid will be gone already going away in other countries,"@TomFitton No, By the time the vaccine is here Covid will be gone. Already going away in other countries.",time vaccine covid go already go away country
1.3047857132511887e+18,1.189631890875179e+18,watch what happened at 410 in s broadcast war room pandemic ep 383 amp 384  download the americasvoicenews app android  and apple,"@Flowers2245 Watch what happened at 4:10 in @AVoiceNews's broadcast: War Room Pandemic Ep 383 &amp; 384.  Download the #AmericasVoiceNews app Android https://t.co/0EGzL3CcY4  and Apple https://t.co/GxPPS1NyOA

https://t.co/fRcd5oDkpu",watch happen 410 broadcast war room pandemic ep 383 amp 384 download americasvoicenews app android apple
1.3047857136328704e+18,1347621823.0,dear sirwhats going to take for you to make it mandatory to wear masks in this state more deaths do your job or get outdoyourjob stopkillingus wewillvoteyouout,"@GovHolcomb 
Dear Sir,
What's going to take for you to make it mandatory to wear masks in this state? More deaths? Do your job or get out.
#DoYourJob 
#StopKillingUs 
#wewillvoteyouout",dear sirwhats go take make mandatory wear mask state death job get outdoyourjob stopkillingus wewillvoteyouout
1.3047857144423667e+18,30048025.0,democrats block senate republican coronavirus aid bill via,Democrats Block Senate Republican Coronavirus Aid Bill https://t.co/EQgCpJXSDg via @BreitbartNews,democrat block senate republican coronavirus aid bill via
1.3047857178521723e+18,1.1087317620105256e+18,trump known it airborne and call no mask up until the recordinggather large group to make it spreadwhen ask true info that would get people killed he sayed maybe we are not suredown played the death rate that abuse of public trust and mass murder your party put us in this,"@GOPLeader Trump known it airborne and call no mask up until the recording.gather large group to make it spread.when ask true info that would get people killed he sayed ""maybe we are not sure.""down played the death rate. that abuse of public trust and mass murder. your party put us in this.",trump know airborne call mask recordinggather large group make spreadwhen ask true info would get people kill sayed maybe suredown played death rate abuse public trust mass murder party put u
1.304785717491634e+18,4231833855.0,recommended read  whats more the coronavirus is sweeping across england and the uk seems certain to enter a period of lockdown if the transition to adulthood isnt difficult enough,"Recommended read - What's more, the coronavirus is sweeping across England and the UK seems certain to enter a period of lockdown. If the transition to adulthood isn't difficult enough. @HoraceCornflake https://t.co/0yu7Fa6Knm https://t.co/9D1PVOCI2W",recommend read whats coronavirus sweep across england uk seem certain enter period lockdown transition adulthood isnt difficult enough
1.304785717948756e+18,2383882980.0,hey look irelands health authority hse are immunity deniers toothats what the fauci of switzerland the emeritus professor of immunology beda vaccine pope stadler would call these govt workersinterview with prof stadler in first reply below,"Hey look! Ireland's Health Authority (HSE) are ""Immunity Deniers"" too!
That's what the ""Fauci of Switzerland"", the Emeritus Professor of Immunology Beda ""Vaccine Pope"" Stadler would call these govt workers
(interview with Prof Stadler in first reply below)
https://t.co/ZJRW46VZa8",hey look ireland health authority hse immunity denier toothats fauci switzerland emeritus professor immunology beda vaccine pope stadler would call govt workersinterview prof stadler first reply
1.3047857182759035e+18,1.2942889911943537e+18,james looking like the dweebiest person imaginable and raising some other mans kid must base his claims to masculinity on such tenuous stuff as not wearing a mask and eat meat so hard,@JamesDelingpole James looking like the dweebiest person imaginable and raising some other man's kid must base his claims to masculinity on such tenuous stuff as not wearing a mask and eat meat (so hard!),james look like dweebiest person imaginable raise man kid must base claim masculinity tenuous stuff wear mask eat meat hard
1.3047857184982753e+18,1.296229131915493e+18,truthfully i took it out earlier in quarantine but i’m considering getting it pierced for a third time next year because  my vanity outweighs the inevitable pain of piercing through scar tissue again,truthfully I took it out earlier in quarantine but I’m considering getting it pierced for a third time next year because ??? my vanity outweighs the inevitable pain of piercing through scar tissue AGAIN,truthfully take earlier quarantine ’ consider get pierce third time next year vanity outweighs inevitable pain pierce scar tissue
1.3047857198614323e+18,1.0221847544001167e+18,réinfection asymptomatique maybe it’s the tests,@LussiD Réinfection..... asymptomatique. Maybe it’s the tests? https://t.co/FOWWud7fFF,réinfection asymptomatique maybe ’ test
1.304785720826106e+18,1.239237935230333e+18,scientists find pandemicflu collision doubles covid19 transmission via,Scientists find pandemic-flu collision doubles Covid-19 transmission https://t.co/CD2z19Fl8T via @scmpnews,scientist find pandemicflu collision double covid19 transmission via
1.3047857223737958e+18,1.0377988709635032e+18,i think that someone should be interviewing the families that lost family members due to the covid19 on tv,@NBCNews I think that someone should be interviewing the families that lost family members due to the COVID-19 on TV,think someone interview family lose family member due covid19 tv
1.3047857218830868e+18,142659861.0,covid bonus 60 kite surfers at jury’s gap,Covid bonus. 60 kite surfers at Jury’s Gap. https://t.co/kQOloXcHQI,covid bonus 60 kite surfer jury ’ gap
1.3047857230446715e+18,9.623600898176369e+17,thank you  for a brilliant webinar on how the pandemic is straining gender dynamics in indian science covidisation science women ecrs dropping out amp gendergap in publications great to hear perspectives from⭐women in science   and others,"Thank you @labhopping for a brilliant webinar on how the pandemic is straining gender dynamics in Indian science, ""covidisation"" science, women ECRs dropping out, &amp; gendergap in publications! Great to hear perspectives from⭐women in science @GKangInd @KrutikaKuppalli and others!",thank brilliant webinar pandemic strain gender dynamic indian science covidisation science woman ecrs drop amp gendergap publication great hear perspective from⭐women science others
1.304785722843439e+18,1.1053655643885937e+18,repentance amp pleasing me is your best protection follow the hygiene m ❤️ love letter from jesusvideo link  via yahushua jesuschrist jesus christ lord god coronavirus covid19 protection repentance,"REPENTANCE &amp; PLEASING ME IS YOUR BEST PROTECTION... FOLLOW THE HYGIENE M.. ❤️ Love Letter from Jesus

Video Link: 
https://t.co/YTFFWSTZfy via @YouTube

#YAHUSHUA #JESUSCHRIST #JESUS #CHRIST #LORD #GOD #Coronavirus #Covid19 #Protection #Repentance https://t.co/7JGQBbB57z",repentance amp please best protection follow hygiene ❤️ love letter jesusvideo link via yahushua jesuschrist jesus christ lord god coronavirus covid19 protection repentance
